MSV,Ma_Mon_Hoc_rieng,So_luong_mon_rieng,Ma_Mon_chung,So_luong_lop_trung
19107188,['BIO2210'],1,[],0
19107196,['HIS1001'],1,[],0
19107921,['CHE1057'],1,[],0
19107959,['HIS1001'],1,[],0
19107999,['HIS1001'],1,[],0
19108016,['PHI1002'],1,[],0
19108250,['CHE1155'],1,[],0
19108922,['HIS1001'],1,[],0
19109280,['PHI1002'],1,[],0
19109466,['PHI1002'],1,[],0
19109538,['CHE1155'],1,[],0
19109794,['HIS1001'],1,[],0
19109822,['CHE1155'],1,[],0
20100003,['CHE1155'],1,[],0
20100015,['CHE1155'],1,[],0
20100025,['CHE1155'],1,[],0
20100104,['SMP2052'],1,[],0
20100201,['HIS1001'],1,[],0
20100398,['PHI1002'],1,[],0
20100590,['CHE1155'],1,[],0
20100726,['CHE1155'],1,[],0
20101095,['CHE1155'],1,[],0
20101244,['CHE1155'],1,[],0
20101289,['SMP2054'],1,[],0
20101392,['HIS1001'],1,[],0
20101433,['CHE1155'],1,[],0
20101615,['HIS1001'],1,[],0
20101645,['POL1001'],1,[],0
20101650,['PHI1002'],1,[],0
20101729,['CHE1155'],1,[],0
20102099,['CHE1155'],1,[],0
20102302,['SMP1010 CLCRHM'],1,[],0
20102611,['SMP2054'],1,[],0
20102810,['POL1001'],1,[],0
20102876,['POL1001'],1,[],0
20102915,['HIS1001'],1,[],0
20102980,['HIS1001'],1,[],0
20103094,['CHE1155'],1,[],0
20103226,['CHE1155'],1,[],0
20103371,['CHE1155'],1,[],0
20103423,['POL1001'],1,[],0
20103517,['CHE1155'],1,[],0
20103590,['CHE1155'],1,[],0
20103592,['HIS1001'],1,[],0
20103691,['CHE1155'],1,[],0
20103708,['POL1001'],1,[],0
20103732,['HIS1001'],1,[],0
20103767,['HIS1001'],1,[],0
20104023,['SMP2052'],1,[],0
20104149,['SMP2054'],1,[],0
20104182,['POL1001'],1,[],0
20104238,['CHE1155'],1,[],0
20104449,['CHE1155'],1,[],0
20104542,['CHE1155'],1,[],0
20104558,['CHE1155'],1,[],0
20104568,['SMP2054'],1,[],0
20104725,['PHI1002'],1,[],0
20104752,['HIS1001'],1,[],0
20104828,['CHE1155'],1,[],0
20104851,['POL1001'],1,[],0
20104901,['HIS1001'],1,[],0
20104917,['PHI1002'],1,['PHI1002'],1
20105020,['HIS1001'],1,[],0
20105410,['CHE1080'],1,[],0
20105618,['PHI1002'],1,[],0
20105640,['PHI1002'],1,[],0
20105643,['CHE1155'],1,[],0
20105663,['MAT1101'],1,[],0
20105705,['POL1001'],1,[],0
20105845,['CHE1155'],1,[],0
20105975,['HIS1001'],1,[],0
20106007,['HIS1001'],1,[],0
20106058,['SMP2054'],1,[],0
20106080,['CHE1155'],1,[],0
20106163,['PHI1002'],1,[],0
20106181,['CHE1057'],1,[],0
20106387,['HIS1001'],1,[],0
20106445,['CHE1155'],1,[],0
20106464,['HIS1001'],1,[],0
20106622,['PHI1002'],1,[],0
20106630,['CHE1155'],1,[],0
20106656,['CHE1057'],1,[],0
20106682,['SMP2052'],1,[],0
20107034,['PHI1002'],1,[],0
20107052,['CHE1155'],1,[],0
20107069,['CHE1155'],1,[],0
20107132,['SMP1012'],1,[],0
20107249,['HIS1001'],1,[],0
20107251,['CHE1155'],1,[],0
20107263,['CHE1155'],1,[],0
20107371,['PHI1002'],1,[],0
20107401,['CHE1155'],1,[],0
20107408,['CHE1155'],1,[],0
20107410,['HIS1001'],1,[],0
20107474,['HIS1001'],1,[],0
20107574,['PHI1002'],1,[],0
20107624,['POL1001'],1,[],0
20107627,['CHE1155'],1,[],0
20107663,['CHE1155'],1,[],0
20107724,['CHE1155'],1,[],0
20107843,['HIS1001'],1,[],0
20107921,['CHE1155'],1,[],0
20107959,['HIS1001'],1,[],0
20107999,['HIS1001'],1,[],0
20108016,['CHE1057'],1,[],0
20108172,['HIS1001'],1,[],0
20108178,['POL1001'],1,[],0
20108197,['CHE1155'],1,[],0
20108248,['POL1001'],1,[],0
20108252,['CHE1155'],1,[],0
20108261,['PHI1002'],1,[],0
20108321,['HIS1001'],1,[],0
20108478,['PHI1002'],1,[],0
20108510,['SMP2054'],1,[],0
20108514,['CHE1155'],1,[],0
20108516,['PHI1002'],1,[],0
20108520,['PHI1002'],1,[],0
20108537,['HIS1001'],1,[],0
20108599,['CHE1155'],1,[],0
20108659,['HIS1001'],1,[],0
20108714,['CHE1155'],1,[],0
20108836,['MAT1101'],1,[],0
20108922,['PHI1002'],1,[],0
20108977,['CHE1155'],1,[],0
20109280,['HIS1001'],1,[],0
20109314,['PHI1002'],1,[],0
20109466,['CHE1155'],1,[],0
20109473,['PHI1002'],1,[],0
20109673,['HIS1001'],1,[],0
20109699,['CHE1155'],1,[],0
20109918,['CHE1155'],1,[],0
20109980,['CHE1155'],1,[],0
20109984,['CHE1155'],1,[],0
21000235,['HIS1056'],1,[],0
21002922,['MAT2502 CLCMTKHTT'],1,[],0
21003454,['PHY1020'],1,[],0
21006152,['PHY1108'],1,[],0
21101886,['SMP2052'],1,[],0
