MSV,Ma_Mon_Hoc_rieng,So_luong_mon_rieng,Ma_Mon_chung,So_luong_lop_trung
20009472,"['CHE1075E CLCHD', 'CHE2114E CLCHD', 'CHE3300 CLCHD', 'CHE3301 CLCHD', 'CHE3301 CLCCNH', 'CHE3302 CLCHD']",6,['CHE3301 CLCHD'],4
20009486,"['BIO2127 CLCCNS', 'BIO2215E CLCCNS', 'BIO2218', 'BIO2218 CLCCNS', 'BIO2218E QTS', 'BIO2400E CLCCNS', 'BIO3182 CLCCNS', 'BIO3356 CLCCNS', 'BIO3803E CLCCNS', 'CHE1057 CLCCNS', 'CHE1081 CLCCNS', 'MAT1091', 'PHI1002']",13,"['BIO2218 CLCCNS', 'BIO2218']",11
20009543,"['CHE1075E CLCHD', 'CHE2114E CLCHD', 'CHE2115 TNH', 'CHE2115 TTH', 'CHE2116 TNH', 'CHE2116E TTH', 'CHE3300 CLCHD', 'CHE3301 CLCHD', 'CHE3301 CLCCNH', 'CHE3302 CLCHD', 'CHE3303', 'CHE3303 TNH', 'CHE4052', 'E340 TTKHMT', 'PHI1002']",15,"['CHE3301 CLCHD', 'CHE3303 TNH', 'CHE3303']",6
20009551,"['CHE1048', 'CHE1075', 'CHE1084', 'CHE1085', 'POL1001']",5,['CHE1085'],2
20009601,"['MAT2314', 'MAT2315', 'MAT2315E CLCMTKHTT', 'MAT2317', 'MAT2406', 'PHI1002', 'PHY1103']",7,['MAT2317'],1
20009609,"['CHE1052', 'CHE1054', 'CHE1054 CLCHD', 'CHE1054 CLCCNKTHH', 'CHE1084', 'CHE1085', 'CHE1090', 'CHE1091']",8,"['CHE1054', 'CHE1054 CLCHD', 'CHE1085']",11
20009623,"['CHE1067', 'CHE1069', 'CHE1091', 'CHE2018', 'CHE2019', 'CHE2019 CLCCNH', 'CHE2019 CLCHD', 'HIS1001']",8,"['CHE1069', 'CHE2019', 'CHE2019 CLCCNH']",13
20009641,"['CHE1075E CLCHD', 'CHE2114E CLCHD', 'CHE2115 TNH', 'CHE2115 TTH', 'CHE2116 TNH', 'CHE2116E TTH', 'CHE3300 CLCHD', 'CHE3301 CLCHD', 'CHE3301 CLCCNH', 'CHE3302 CLCHD', 'CHE3303', 'CHE3303 TNH', 'CHE4052', 'E340 TTKHMT', 'HIS1001', 'PHI1002']",16,"['CHE3301 CLCHD', 'CHE3303 TNH', 'CHE3303']",6
20009652,"['CHE1075E CLCHD', 'CHE2114E CLCHD', 'CHE3300 CLCHD', 'CHE3301 CLCHD', 'CHE3301 CLCCNH', 'CHE3302 CLCHD', 'CHE3303', 'CHE3303 TNH', 'CHE4052', 'E340 TTKHMT']",10,"['CHE3301 CLCHD', 'CHE3303 TNH', 'CHE3303']",6
20009663,"['BIO2203', 'BIO2204', 'BIO2205 CLCCNS', 'BIO3201', 'HIS1001', 'MAT2403', 'MAT3506', 'PHI1002', 'PHY1103']",9,['HIS1001'],1
