MSV,classCode,subjectCode
19003785,"['CHE3045', 'MAT2502 2', 'MAT2034', 'MAT3373', 'MAT2403 2', 'CHE1075', 'CHE3254', 'CHE3253', 'HIS1001 5']","['CHE3045', 'MAT2034', 'MAT3373', 'MAT2502', 'CHE1075', 'CHE3253', 'MAT2403', 'CHE3254', 'HIS1001']"
19003794,"['PHY2064 TNL', 'PHY3346 TNL', 'PHY3508 4TNL', 'PHY3608 2TNL']","['PHY3508 TNL', 'PHY3608 TNL', 'PHY2064 TNL', 'PHY3346 TNL']"
19003798,"['PHY2064E QTL', 'PHY2306E QTL', 'PHY3608E QTL', 'PHY3508E QTL']","['PHY2064E QTL', 'PHY2306E QTL', 'PHY3608E QTL', 'PHY3508E QTL']"
19003801,"['BIO2215E 2CLCCNS', 'BIO2516 1CLCCNS', 'BIO2127 1CLCCNS', 'BIO2800 2CLCCNS', 'BIO3302E 2CLCCNS', 'BIO3802E 1CLCCNS']","['BIO3302E CLCCNS', 'BIO2127 CLCCNS', 'BIO3802E CLCCNS', 'BIO2215E CLCCNS', 'BIO2516 CLCCNS', 'BIO2800 CLCCNS']"
19003806,"['CHE2131 TNH', 'MAT3373', 'CHE2130 TNH', 'MAT3539 2', 'CHE2121 TNH']","['CHE2131 TNH', 'MAT3373', 'CHE2130 TNH', 'MAT3539', 'CHE2121 TNH']"
19003810,"['GEO2110', 'MAT1091 2', 'GEO3224']","['GEO2110', 'GEO3224', 'MAT1091']"
19003811,"['CHE1048', 'CHE1084']","['CHE1048', 'CHE1084']"
19003863,"['MAT2411E 1CLCMTKHTT', 'MAT3500 4CLCMTKHTT', 'MAT3533', 'MAT3373E 2CLCMTKHTT']","['MAT3500 CLCMTKHTT', 'MAT3533', 'MAT3373E CLCMTKHTT', 'MAT2411E CLCMTKHTT']"
19003874,"['BIO2215E 2CLCCNS', 'HIS1001 12', 'BIO2516 1CLCCNS', 'BIO2127 1CLCCNS', 'BIO2800 2CLCCNS', 'BIO3302E 2CLCCNS', 'BIO3802E 1CLCCNS']","['BIO3302E CLCCNS', 'BIO2127 CLCCNS', 'BIO3802E CLCCNS', 'BIO2215E CLCCNS', 'BIO2516 CLCCNS', 'BIO2800 CLCCNS', 'HIS1001']"
19003895,"['PHI1002 8', 'MAT1101 10', 'GEO2304', 'PHY1103 1', 'GEO3143', 'GEO3360']","['MAT1101', 'GEO2304', 'PHI1002', 'GEO3143', 'GEO3360', 'PHY1103']"
19003897,"['EVS3244 2', 'EVS3158', 'EVS4073 1', 'EVS3287', 'EVS3232']","['EVS4073', 'EVS3158', 'EVS3287', 'EVS3232', 'EVS3244']"
19003904,"['CHE1081 1', 'BIO2202 3', 'BIO2092', 'BIO2044', 'BIO3252 3', 'BIO2045 1', 'PHY1103 12']","['BIO2045', 'BIO2092', 'CHE1081', 'PHY1103', 'BIO2044', 'BIO3252', 'BIO2202']"
19003911,"['CHE3045', 'HIS1001 9', 'CHE1075', 'CHE1052', 'CHE3253', 'CHE3254']","['CHE3045', 'CHE1075', 'CHE1052', 'CHE3253', 'CHE3254', 'HIS1001']"
19003916,"['MAT2306 2', 'MAT2407 1', 'MAT2311', 'MAT3347 1', 'MAT3306']","['MAT2306', 'MAT2407', 'MAT2311', 'MAT3347', 'MAT3306']"
19003918,"['BIO2089 TNS', 'BIO3701 TNS', 'BIO3377 TNS', 'BIO2504 TNS', 'BIO3257 TNS']","['BIO2089 TNS', 'BIO3701 TNS', 'BIO3377 TNS', 'BIO2504 TNS', 'BIO3257 TNS']"
19003951,"['POL1001 12', 'MAT3562E 1CLCMTKHTT', 'PHI1002 8', 'BIO2092', 'MAT2411E 2CLCMTKHTT', 'BIO2044', 'BIO3252 3', 'BIO2202 2', 'BIO2045 1', 'MAT3373E 2CLCMTKHTT', 'BIO2206 2', 'MAT3533 3CLCMTKHTT', 'BIO2201 2']","['MAT3373E CLCMTKHTT', 'BIO2206', 'MAT3562E CLCMTKHTT', 'BIO2045', 'MAT3533 CLCMTKHTT', 'BIO2092', 'POL1001', 'BIO2044', 'PHI1002', 'BIO3252', 'BIO2201', 'BIO2202', 'MAT2411E CLCMTKHTT']"
19003966,"['PHY1113 5', 'PHY2302 3']","['PHY2302', 'PHY1113']"
